Planet,Mass (10^24kg),Diameter (km),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Semi-Major Axis (AU),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
,0.33,4879,5429,3.7,4.3,1407.6,4222.6,0.387037594379343,0.3074910076243485,0.46658418113433753,0.387037594379343,0.2410958904109589,47.4,7.0,0.206,0.034,167,0.0,0,,
,4.87,12104,5243,8.9,10.4,-5832.5,2802.0,0.7232723266294458,0.7185931156438579,0.7279515376150337,0.7232723266294458,0.6156164383561643,35.0,3.4,0.007,177.4,464,92.0,0,,
,5.97,12756,5514,9.8,11.2,23.9,24.0,1.0000142334913595,0.9833027656856883,1.0167257012970305,1.0000142334913595,1.0005479452054795,29.8,0.0,0.017,23.4,15,1.0,1,,
,0.073,3475,3340,1.6,2.4,655.7,708.7,0.002566881454951083,0.0024265051253834456,0.002713942371640989,0.0025702237485122174,0.0747945205479452,1.0,5.1,0.055,6.7,-20,0.0,0,,
,0.642,6792,3934,3.7,5.0,24.6,24.7,1.5240858638772057,1.3817041581728877,1.6664675695815234,1.5240858638772057,1.8821917808219177,24.1,1.8,0.094,25.2,-65,0.01,2,,
,1898.0,142984,1326,23.1,59.5,9.9,9.9,5.2039510746859845,4.950605222752011,5.457296926619959,5.2039510746859845,11.865753424657534,13.1,1.3,0.049,3.1,-110,,95,,
,568.0,120536,687,9.0,35.5,10.7,10.7,9.572328759088414,9.074995477191642,10.070330499697413,9.572662988444527,29.443835616438356,9.7,2.5,0.052,26.7,-140,,274,,
,86.8,51118,1270,8.7,21.3,-17.2,17.2,19.164711279543635,18.26697122902298,20.06311978877651,19.16504550889975,83.8054794520548,6.8,0.8,0.047,97.8,-195,,28,,
,102.0,49528,1638,11.0,23.5,16.1,16.1,30.180910857042033,29.887457482374447,30.474364231709618,30.180910857042033,163.83561643835617,5.4,1.8,0.01,28.3,-200,,16,,
,0.013,2376,1850,0.7,1.3,-153.3,153.3,39.48184537896635,29.658176144080638,49.30484615513983,39.481511149610235,248.1095890410959,4.7,17.2,0.244,119.5,-225,1e-05,5,,
